company_names,cars_names,engines,horsepower,total_speed,performance0__100_km_h,cars_prices,fuel_types,seats,torque,engine_cc,battery_capacity_kwh
ASTON MARTIN,VANTAGE ,V8,503.0,313.0,3.6,142000.0,Petrol,2,685.0,3996.0,
ASTON MARTIN,DBX,V8,542.0,291.0,4.5,189000.0,Petrol,5,700.0,3996.0,
ASTON MARTIN,RAPIDE AMR,V12,580.0,328.0,4.2,240000.0,Petrol,4,630.0,5935.0,
ASTON MARTIN,VANQUISH,V12,580.0,324.0,3.6,294000.0,Petrol,2,630.0,5935.0,
ASTON MARTIN,LAGONDA TARAF,V12,540.0,314.0,4.2,1100000.0,Petrol,4,630.0,5935.0,
ASTON MARTIN,VICTOR,V12,836.0,320.0,2.8,1300000.0,Petrol,2,821.0,5204.0,
LAMBORGHINI,SIAN,V12,819.0,350.0,2.8,2800000.0,Hybrid,2,720.0,6498.0,
LAMBORGHINI,AVENTADOR SVJ,V12,759.0,350.0,2.8,518000.0,Petrol,2,720.0,6498.0,
LAMBORGHINI,HURACAN PERFORMANTE,V10,640.0,325.0,2.9,274000.0,Petrol,2,600.0,5204.0,
LAMBORGHINI,HURACAN EVO,V10,640.0,325.0,2.9,261000.0,Petrol,2,600.0,5204.0,
LAMBORGHINI,AVENTADOR SV,V12,740.0,350.0,2.8,493000.0,Petrol,2,690.0,6498.0,
LAMBORGHINI,URUS ,V8,641.0,305.0,3.6,211000.0,Petrol,5,850.0,3996.0,
LAMBORGHINI,HURACAN SPYDER,V10,610.0,325.0,3.4,287000.0,Petrol,2,600.0,5204.0,
LAMBORGHINI,AVENTADOR ROADSTER,V12,700.0,350.0,3.0,445000.0,Petrol,2,690.0,6498.0,
LAMBORGHINI,HURACAN  PERFORMANTE SPYDER,V10,640.0,325.0,3.1,308000.0,Petrol,2,600.0,5204.0,
LAMBORGHINI,AVENTADOR S,V12,740.0,350.0,2.9,421000.0,Petrol,2,690.0,6498.0,
LAMBORGHINI,HURACAN EVO SPYDER,V10,640.0,325.0,3.1,287000.0,Petrol,2,600.0,5204.0,
LAMBORGHINI,URUS PERFORMANTE,V8,641.0,305.0,3.3,242000.0,Petrol,5,850.0,3996.0,
LAMBORGHINI,AVENTADOR ULTIMAE,V12,769.0,355.0,2.8,545000.0,Petrol,2,720.0,6498.0,
LAMBORGHINI,HURACAN EVO RWD,V10,610.0,325.0,3.3,258000.0,Petrol,2,560.0,5204.0,
LAMBORGHINI,AVENTADOR SVJ ROADSTER,V12,759.0,350.0,2.9,573000.0,Petrol,2,720.0,6498.0,
LAMBORGHINI,URUS S,V8,671.0,305.0,3.3,263000.0,Petrol,5,850.0,3996.0,
LAMBORGHINI,HURACAN STO,V10,640.0,325.0,3.0,327000.0,Petrol,2,565.0,5204.0,
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE,V12,769.0,355.0,2.8,545000.0,Petrol,2,720.0,6498.0,
LAMBORGHINI,HURACAN EVO RWD SPYDER,V10,610.0,325.0,3.3,273000.0,Petrol,2,600.0,5204.0,
LAMBORGHINI,AVENTADOR SVJ XAGO,V12,759.0,350.0,2.9,603000.0,Petrol,2,720.0,6498.0,
LAMBORGHINI,URUS GRAPHITE CAPSULE,V8,641.0,305.0,3.3,253000.0,Petrol,5,850.0,3998.0,
LAMBORGHINI,HURACAN STO EVO,V10,640.0,325.0,3.0,342000.0,Petrol,2,565.0,5204.0,
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE ROADSTER,V12,769.0,355.0,2.8,573000.0,Petrol,2,720.0,6498.0,
ROLLS ROYCE ,GHOST,V12,591.0,250.0,4.8,332000.0,Petrol,5,850.0,6592.0,
ROLLS ROYCE,WRAITH,V12,624.0,250.0,4.4,330000.0,Petrol,4,870.0,6592.0,
ROLLS ROYCE,DAWN,V12,624.0,250.0,4.9,360000.0,Petrol,4,870.0,6592.0,
ROLLS ROYCE,CULLINAN,V12,563.0,250.0,5.2,325000.0,Petrol,5,850.0,6749.0,
ROLLS ROYCE,PHANTOM EXTENDED,V12,563.0,250.0,5.3,500000.0,Petrol,5,900.0,6749.0,
ROLLS ROYCE,GHOST EXTENDED,V12,591.0,250.0,4.8,370000.0,Petrol,5,850.0,6592.0,
ROLLS ROYCE,WRAITH BLACK BADGE,V12,624.0,250.0,4.3,360000.0,Petrol,4,870.0,6592.0,
ROLLS ROYCE,DAWN BLACK BADGE,V12,624.0,250.0,4.8,390000.0,Petrol,4,870.0,6592.0,
ROLLS ROYCE,CULLINAN BLACK BADGE,V12,563.0,250.0,5.1,350000.0,Petrol,5,850.0,6749.0,
ROLLS ROYCE,PHANTOM COUPE,V12,563.0,250.0,5.3,450000.0,Petrol,4,870.0,6749.0,
ROLLS ROYCE,GHOST COUPE,V12,591.0,250.0,4.8,340000.0,Petrol,4,850.0,6592.0,
ROLLS ROYCE,WRAITH COUPE,V12,624.0,250.0,4.4,330000.0,Petrol,4,870.0,6592.0,
ROLLS ROYCE,DAWN CONVERTIBLE,V12,624.0,250.0,4.9,380000.0,Petrol,4,870.0,6592.0,
ROLLS ROYCE,CULLINAN SUV,V12,563.0,250.0,5.2,320000.0,Petrol,5,850.0,6749.0,
MERCEDES,BENZ S-CLASS S 580,V8,496.0,250.0,4.4,116000.0,Petrol,5,700.0,3982.0,
MERCEDES,BENZ E-CLASS E 63 S,V8,603.0,250.0,3.4,104000.0,Petrol,5,850.0,3982.0,
MERCEDES,BENZ CLA 45 AMG,I4,382.0,250.0,4.1,53000.0,Petrol,5,500.0,1991.0,
MERCEDES,BENZ GLE 63 S,V8,603.0,250.0,4.2,113000.0,Petrol,5,850.0,3982.0,
MERCEDES,BENZ S-CLASS S 500,V6,429.0,250.0,4.9,109000.0,Petrol,5,700.0,2996.0,
MERCEDES,BENZ E-CLASS E 450 ,V6,362.0,250.0,5.2,62000.0,Petrol,5,500.0,2996.0,
MERCEDES,BENZ CLS 450,V6,362.0,250.0,5.2,70000.0,Petrol,5,500.0,2996.0,
MERCEDES,BENZ GT 53,V6,429.0,250.0,4.5,99000.0,Petrol,5,700.0,2996.0,
MERCEDES,BENZ GLE 450,V6,362.0,250.0,5.5,63000.0,Petrol,5,500.0,2996.0,
MERCEDES,BENZ A-CLASS A 45 S,I4,416.0,250.0,3.9,53000.0,Petrol,5,500.0,1991.0,
MERCEDES,BENZ C-CLASS C 43,V6,402.0,250.0,4.7,52000.0,Petrol,5,520.0,2996.0,
MERCEDES,BENZ E-CLASS E 350,I4,255.0,250.0,5.7,49000.0,Petrol,5,500.0,1991.0,
MERCEDES,BENZ GLE 350 ,I4,255.0,250.0,6.1,53000.0,Petrol,5,500.0,1991.0,
MERCEDES,BENZ GLC 43,V6,402.0,250.0,4.7,54000.0,Petrol,5,520.0,2996.0,
MERCEDES,BENZ GLA 45,I4,382.0,250.0,4.3,48000.0,Petrol,5,500.0,1991.0,
MERCEDES,BENZ GLC 350 ,I4,255.0,250.0,6.1,46000.0,Petrol,5,500.0,1991.0,
MERCEDES,BENZ GLE 53,V6,429.0,250.0,5.2,71000.0,Petrol,5,620.0,2996.0,
MERCEDES,BENZ S-CLASS S 350,I4,255.0,250.0,6.5,90000.0,Petrol,5,500.0,1991.0,
MERCEDES,BENZ EQS 53,ELECTRIC MOTOR,751.0,250.0,3.4,102000.0,Electric,5,950.0,,
MERCEDES,BENZ MAYBACH S 680,V12,630.0,250.0,4.7,200000.0,Petrol,5,1000.0,5980.0,
BMW,M5 CS,V8,627.0,305.0,3.0,142000.0,Petrol,5,750.0,4395.0,
BMW,M4 GTS,I6,493.0,305.0,3.7,133000.0,Petrol,4,600.0,2993.0,
BMW,M3 COMPETITION,I6,503.0,285.0,3.5,76000.0,Petrol,5,650.0,2993.0,
BMW,M2 CS,I6,444.0,280.0,4.0,83000.0,Petrol,4,550.0,2993.0,
BMW,X5 M COMPETITION,V8,523.0,285.0,4.1,114000.0,Petrol,5,750.0,4935.0,
BMW,X3 M COMPETITION,I6,503.0,285.0,4.1,69000.0,Petrol,5,650.0,2993.0,
BMW,M8 GRAN COUPE,V8,523.0,305.0,3.3,146000.0,Petrol,5,750.0,4395.0,
BMW,M850i DRIVE COUPE,V8,523.0,285.0,3.7,108000.0,Petrol,4,750.0,4935.0,
ROLLS ROYCE,DAWN BLACK BADGE VOLANTE,V12,563.0,250.0,4.8,398000.0,Petrol,4,840.0,6592.0,
ROLLS ROYCE,CULLINAN BLACK BADGE SUV,V12,563.0,250.0,5.1,381000.0,Petrol,5,850.0,6749.0,
ROLLS ROYCE,PHATOM TRANQUILITY,V12,563.0,250.0,5.3,475000.0,Petrol,5,900.0,6749.0,
ROLLS ROYCE,GHOST ZENITH,V12,563.0,250.0,4.9,335000.0,Petrol,5,900.0,6749.0,
ROLLS ROYCE,WRAITH EAGLE VIII,V12,623.0,250.0,4.5,349000.0,Petrol,4,800.0,6592.0,
ROLLS ROYCE,PHATOM ORCHID,V12,563.0,250.0,5.3,495000.0,Petrol,5,900.0,6749.0,
ROLLS ROYCE,GHOST AZURE,V12,563.0,250.0,4.9,355000.0,Petrol,5,900.0,6749.0,
ROLLS ROYCE,WRAITH KRYPTOS,V12,623.0,250.0,4.5,369000.0,Petrol,4,800.0,6592.0,
ROLLS ROYCE,DAWN SILVER BULLET,V12,563.0,250.0,4.8,418000.0,Petrol,4,840.0,6592.0,
ROLLS ROYCE,CULLINAN FUX ORANGE,V12,563.0,250.0,5.1,401000.0,Petrol,5,850.0,6749.0,
ROLLS ROYCE,PHANTOM CELESTIAL,V12,563.0,250.0,5.3,515000.0,Petrol,5,900.0,6749.0,
ROLLS ROYCE,GHOST MYSORE,V12,563.0,250.0,4.9,375000.0,Petrol,5,900.0,6749.0,
ROLLS ROYCE,WRAITH LUMINARY,V12,623.0,250.0,4.5,389000.0,Petrol,4,800.0,6592.0,
ROLLS ROYCE,DAWN BLACK BADGE ADAMAS,V12,563.0,250.0,4.8,439000.0,Petrol,4,840.0,6592.0,
ROLLS ROYCE,CULLINAN RED DIAMOND,V12,563.0,250.0,5.1,421000.0,Petrol,5,850.0,6749.0,
AUDI,R8 V10 PLUS,V10,610.0,330.0,3.2,194000.0,Petrol,2,560.0,5204.0,
AUDI,RS7 SPORTBACK,V8,591.0,305.0,3.6,114000.0,Petrol,5,800.0,3993.0,
AUDI,S8,V8,563.0,305.0,4.3,101000.0,Petrol,5,800.0,3993.0,
AUDI,RS6 AVANT,V8,591.0,305.0,3.6,109000.0,Petrol,5,800.0,3993.0,
AUDI,S7 SPORTBACK,V8,563.0,305.0,4.3,96000.0,Petrol,5,650.0,3993.0,
AUDI,A8,V6,335.0,250.0,5.7,86000.0,Petrol,5,600.0,2995.0,
AUDI,S5 COUPE,V6,349.0,250.0,4.8,64000.0,Petrol,4,500.0,2995.0,
AUDI,SQ5,V6,349.0,250.0,5.4,62000.0,Petrol,5,500.0,2995.0,
AUDI,S4 SEDAN,V6,349.0,250.0,4.7,59000.0,Petrol,5,500.0,2995.0,
AUDI,S3 SEDAN,I4,306.0,250.0,4.8,52000.0,Petrol,5,400.0,1984.0,
AUDI,Q7,V6,335.0,250.0,6.3,60000.0,Petrol,7,600.0,2995.0,
AUDI,Q5,I4,248.0,240.0,6.3,43000.0,Petrol,5,500.0,1984.0,
AUDI,A7,V6,335.0,250.0,5.7,68000.0,Petrol,5,600.0,2995.0,
AUDI,A6,V6,335.0,250.0,5.7,58000.0,Petrol,5,600.0,2995.0,
AUDI,A5 COUPE,I4,248.0,240.0,6.3,45000.0,Petrol,4,500.0,1984.0,
AUDI,A4,I4,248.0,240.0,6.5,39000.0,Petrol,5,400.0,1984.0,
AUDI,Q3,I4,248.0,230.0,7.3,35000.0,Petrol,5,400.0,1984.0,
AUDI,E-TRON,ELECTRIC ,402.0,200.0,5.5,75000.0,Electric,5,664.0,,95.0
AUDI,E-TRON SPORTBACK,ELECTRIC,402.0,200.0,5.5,78000.0,Electric,5,664.0,,95.0
AUDI,TT COUPE,I4,248.0,250.0,5.3,49000.0,Petrol,2,400.0,1984.0,
BMW,I8 ROADSTER,ELECTRIC MOTOR,369.0,250.0,4.4,165000.0,Hybrid,2,570.0,,11.6
BMW,330i,I4,255.0,250.0,5.6,45000.0,Petrol,5,400.0,1998.0,
BMW,M340i XDRIVE,I6,382.0,250.0,4.1,57000.0,Petrol,5,500.0,2998.0,
BMW,430i COUPE,I4,255.0,250.0,5.8,48000.0,Petrol,4,400.0,1998.0,
BMW,M4 COMPETITION,I6,503.0,290.0,3.8,81000.0,Petrol,4,650.0,2993.0,
BMW,530i,I4,248.0,250.0,5.9,57000.0,Petrol,5,400.0,1998.0,
BMW,M550i XDRIVE,V8,523.0,250.0,3.6,78000.0,Petrol,5,650.0,4395.0,
BMW,118i,I3,136.0,213.0,8.5,32000.0,Petrol,5,220.0,1499.0,
BMW,128ti,I4,261.0,250.0,6.1,42000.0,Petrol,5,400.0,1998.0,
BMW,M135i XDRIVE,I4,302.0,250.0,4.8,30000.0,Petrol,5,450.0,1998.0,
BMW,116D,I3,116.0,200.0,10.3,30000.0,Diesel,5,280.0,1496.0,
BMW,120D XDRIVE,I4,190.0,230.0,6.9,38000.0,Diesel,5,400.0,1995.0,
BMW,116i,I3,109.0,200.0,10.9,28000.0,Petrol,5,200.0,1499.0,
BMW,118D,I4,150.0,216.0,8.4,34000.0,Diesel,5,380.0,1995.0,
BMW,120i,I4,178.0,230.0,7.1,37000.0,Petrol,5,300.0,1998.0,
BMW,125i,I4,224.0,240.0,6.1,42000.0,Petrol,5,400.0,1998.0,
BMW,114D,I3,95.0,185.0,12.2,27000.0,Diesel,5,270.0,1496.0,
BMW,114i,I4,102.0,195.0,11.2,26000.0,Petrol,5,200.0,1598.0,
BMW,125D,I4,224.0,240.0,6.3,44000.0,Diesel,5,400.0,1995.0,
BMW,118i XDRIVE,I3,136.0,211.0,8.9,34000.0,Petrol,5,250.0,1499.0,
BMW,116D EFFICIENTDYNAMICS,I3,116.0,200.0,10.9,30000.0,Diesel,5,270.0,1496.0,
BMW,118i SPORTLINE,I3,136.0,213.0,8.5,35000.0,Petrol,5,250.0,1499.0,
BMW,118i M SPORT,I3,136.0,213.0,8.5,37000.0,Petrol,5,250.0,1499.0,
BMW,120i M SPORT,I4,178.0,230.0,7.1,39000.0,Petrol,5,300.0,1998.0,
BMW,116i EFFICIENTDYNAMICS,I4,109.0,195.0,10.9,29000.0,Petrol,5,200.0,1598.0,
BMW,116D ADVANTAGE,I3,116.0,200.0,10.5,31000.0,Diesel,5,270.0,1496.0,
BMW,120D EFFICIENTDYNAMICS,I4,163.0,225.0,7.7,39000.0,Diesel,5,400.0,1995.0,
BMW,118i SHADOW LINE,I3,136.0,213.0,8.5,36000.0,Petrol,5,250.0,1499.0,
BMW,118D SPORT LINE,I4,150.0,216.0,8.4,36000.0,Diesel,5,380.0,1995.0,
BMW,120i XDRIVE,I4,178.0,230.0,7.2,40000.0,Petrol,5,300.0,1998.0,
BMW,114D SPORT LINE,I3,95.0,185.0,12.2,28000.0,Diesel,5,270.0,1496.0,
BMW,118i URBAN LINE,I3,136.0,213.0,8.5,35000.0,Petrol,5,250.0,1499.0,
VOLVO,XC90,I6,247.0,200.0,6.5,60000.0,Petrol/Diesel,7,400.0,1969.0,
VOLVO,XC60,I6,247.0,220.0,6.4,55000.0,Petrol/Diesel,5,400.0,1969.0,
VOLVO,S90,I6,295.0,250.0,5.9,60000.0,Petrol/Diesel,5,400.0,1969.0,
KIA,SPORTAGE LX,I4,187.0,200.0,8.0,27000.0,Petrol,5,250.0,2480.0,
KIA,SPORTAGE EX,I4,187.0,200.0,8.0,30000.0,Petrol,5,250.0,2480.0,
KIA,SPORTAGE GT-LINE,I4,187.0,200.0,8.0,32000.0,Petrol,5,350.0,2480.0,
KIA,SPORTAGE SX TURBO,I4,240.0,210.0,6.7,36000.0,Petrol,5,400.0,1998.0,
KIA,SPORTAGE NIGHTFALL EDITION,I4,187.0,200.0,8.0,33000.0,Petrol,5,350.0,2480.0,
HONDA,CIVIC TYPE R,I4,315.0,272.0,5.7,44000.0,Petrol,5,400.0,1996.0,
KIA,SPORTAGE PHEV,I4 + ELECTRIC,261.0,180.0,8.0,41000.0,Plug-in Hybrid,5,350.0,1600.0,
KIA,SPORTAGE 2024(BASE MODEL),I4,187.0,200.0,8.0,26000.0,Petrol,5,250.0,2480.0,
KIA,SPORTAGE 2024(TOP TRIM),I4,240.0,210.0,6.7,38000.0,Petrol,5,400.0,1998.0,
KIA,SPORTAGE 2024(BASE AWD),I4,187.0,200.0,8.3,29000.0,Petrol/AWD,5,250.0,2480.0,
KIA,SPORTAGE X-LINE,I4,187.0,200.0,8.0,32500.0,Petrol,5,350.0,2480.0,
KIA,SPORTAGE 2024(S TRIM),I4,187.0,200.0,8.2,28000.0,Petrol,5,250.0,2480.0,
HONDA,ACCORD,I4,192.0,201.0,7.1,29400.0,Petrol,5,370.0,1498.0,
KIA,SPORTAGE 2024(HYBRID AWD),I4 + ELECTRIC,227.0,180.0,8.0,37000.0,Hybrid,5,350.0,1600.0,
KIA,SPORTAGE 2024(PLUG-IN HYBRID AWD),I4 + ELECTRIC,261.0,180.0,7.9,42000.0,Plug-in Hybrid,5,350.0,1598.0,
KIA,SPORTAGE 2024(X-PRO),I4,187.0,200.0,8.1,36000.0,Petrol,5,400.0,2480.0,
KIA,SPORTAGE 2024(X-PRO PRESTIGE),I4,187.0,200.0,8.1,38000.0,Petrol,5,400.0,2480.0,
KIA,SPORTAGE 2024(SX TURBO AWD),I4,240.0,210.0,6.5,40000.0,Petrol/AWD,5,400.0,1998.0,
KIA  ,SPORTAGE 2024(BASE FWD),I4,187.0,200.0,8.5,26500.0,Petrol,5,250.0,2480.0,
HONDA,CR-V,I4,190.0,186.0,8.2,30000.0,Petrol/Hybrid,5,400.0,1498.0,
HONDA,PILOT,V6,285.0,209.0,6.3,40000.0,Petrol,8,360.0,3471.0,
HONDA,CIVIC HATCHBACK,I4,180.0,220.0,6.8,26350.0,Petrol,5,300.0,1498.0,
TOYOTA,CAMRY,V6,301.0,220.0,6.0,27000.0,Petrol/Hybrid,5,250.0,3500.0,
TOYOTA,COROLLA,I4,139.0,180.0,9.4,22500.0,Petrol/Hybrid,5,200.0,1798.0,
TOYOTA,PRIUS,I4,121.0,180.0,10.5,26700.0,Hybrid,5,142.0,1798.0,
TOYOTA,RAV4,I4,203.0,200.0,8.1,27100.0,Petrol/Hybrid,5,400.0,2494.0,
TOYOTA,HIGHLANDER,V6,295.0,220.0,7.2,38400.0,Petrol/Hybrid,7,370.0,3456.0,
TOYOTA,4RUNNER ,V6,270.0,200.0,7.5,37400.0,Petrol,5,400.0,3956.0,
TOYOTA,TACOMA,I4,159.0,180.0,9.5,26400.0,Petrol,5,400.0,2694.0,
TOYOTA,TUNDRA,V8,381.0,220.0,6.7,39900.0,Petrol,5,650.0,5663.0,
TOYOTA,AVALON,V6,301.0,220.0,6.9,41400.0,Petrol,5,400.0,3456.0,
TOYOTA,MIRAI,I4,151.0,180.0,9.2,52400.0,Hydrogen,5,335.0,1798.0,
TOYOTA,SIENNA,V6,245.0,190.0,8.0,44150.0,Petrol/Hybrid,7,360.0,2494.0,
TOYOTA,VENZA,I4,219.0,200.0,7.5,33400.0,Hybrid,5,400.0,2494.0,
TOYOTA,HIGHLANDER HYBRID,V6,240.0,220.0,8.2,40400.0,Hybrid,7,350.0,3456.0,
TOYOTA,LAND CRUISER PRADO,V6,282.0,200.0,7.2,49400.0,Petrol/Diesel,7,450.0,3956.0,
TOYOTA,TUNDRA HYBRID,V6,344.0,220.0,6.2,43400.0,Hybrid,5,650.0,3456.0,
TOYOTA,YARIS,I4,106.0,180.0,11.2,18400.0,Petrol,5,150.0,1496.0,
TOYOTA,C-HR,I4,144.0,200.0,10.2,24400.0,Petrol/Hybrid,5,250.0,1986.0,
TOYOTA,BZ4X,ELECTRIC,218.0,200.0,7.5,43400.0,Electric,5,330.0,,64.8
TOYOTA,CROWN,HYBRID,236.0,200.0,7.6,38400.0,Hybrid,5,400.0,2494.0,
TOYOTA,MR2,I4,168.0,200.0,6.9,29000.0,Petrol,2,400.0,1986.0,
TOYOTA,CELICA,I4,140.0,200.0,8.5,25000.0,Petrol,5,250.0,1986.0,
HONDA,CITY,I4,119.0,180.0,10.2,15400.0,Petrol/Hybrid,5,145.0,1497.0,
HONDA,CIVIC,I4,158.0,200.0,8.5,20400.0,Petrol,5,400.0,1996.0,
HYUNDAI,I10,"1.2L,4-CYLINDER,INLINE-4(I4)",87.0,160.0,12.2,12400.0,Petrol,5,120.0,1197.0,
HYUNDAI,I20,"1.4L,4-CYLINDER,INLINE-4(I4)",99.0,180.0,10.5,15400.0,Petrol/Hybrid,5,250.0,1396.0,
HYUNDAI,ELANTRA,"2.0L,4-CYLINDER,INLINE-4(I4)",147.0,200.0,9.5,18400.0,Petrol/Hybrid,5,250.0,1999.0,
MAHINDRA,XUV500,"2.2L,4-CYLINDER,INLINE-4(I4)",155.0,180.0,10.5,18400.0,Diesel,7,400.0,2179.0,
MAHINDRA,SCORPIO,"2.2L,4-CYLINDER,INLINE-4(I4)",140.0,160.0,11.2,16400.0,Diesel,7,280.0,2179.0,
MAHINDRA,THAR,"2.0L,4-CYLINDER,INLINE-4(I4)",150.0,180.0,10.5,20400.0,Petrol/Diesel,4,320.0,1997.0,
MARUTI SUZUKI,SWIFT,"1.2L,4-CYLINDER,INLINE-4(I4)",83.0,160.0,12.2,10400.0,Petrol,5,113.0,1197.0,
MARUTI SUZUKI,DZIRE,"1.2L,4-CYLINDER,INLINE-4(I4)",83.0,160.0,12.2,11400.0,Petrol/Diesel,5,113.0,1197.0,
MARUTI SUZUKI,BREZZA,"1.5L,4-CYLINDER,INLINE(I4)",103.0,180.0,11.5,14400.0,Petrol,5,200.0,1462.0,
TOYOTA,PRIUS PRIME,"2.0L,4-CYLINDER,WITH HYBRID SYSTEM",220.0,180.0,6.7,31100.0,Plug-in Hybrid,5,220.0,1998.0,
TOYOTA,GR COROLLA,"1.6L,TURBOCHARGED INLINE-3",300.0,230.0,5.0,36995.0,Petrol,5,370.0,1618.0,
TOYOTA,LAND CRUISER 300,"3.3L,V6,TWIN TURBO DIESEL",305.0,210.0,6.8,58500.0,Petrol/Diesel,7,650.0,3346.0,
TOYOTA,TUNDRA I-FORCE MAX,"3.5L,V6,HYBRID TWIN-TURBO",437.0,180.0,6.2,56000.0,Hybrid,5,750.0,3445.0,
TOYOTA,COROLLA HATCHBACK XSE,"2.0L,INLINE-4",169.0,190.0,8.2,25390.0,Petrol,5,250.0,1987.0,
TOYOTA,MIRAI,"HYDROGEN FUEL CELL,ELECTRIC MOTOR",152.0,180.0,9.0,49500.0,Hydrogen,5,335.0,,1.24
TOYOTA,HILUX GR SPORT,"2.8L,TURBO,DIESEL",224.0,170.0,10.0,50000.0,Petrol/Diesel,5,500.0,2755.0,
TOYOTA,ALPHARD EXECUTIVE LOUNGE,"2.5L,INLINE-4,HYBRID,OR 3.5L,V6",296.0,180.0,8.5,60000.0,Petrol,7,400.0,2494.0,
TOYOTA,FORTUNER GR SPORT,"2.8L,TURBO,DIESEL",204.0,175.0,10.5,55000.0,Diesel/Petrol,7,500.0,2755.0,
TOYOTA,INNOVA HYCROSS,2.0L HYBRID,184.0,165.0,9.5,40000.0,Hybrid,7,250.0,1987.0,
TOYOTA,COASTER,"4.0L,DIESEL",134.0,120.0,,70000.0,Diesel,20,500.0,4009.0,
TOYOTA,URBAN CRUISER TAISOR,"1.5L,HYBRID",114.0,170.0,11.0,25000.0,Petrol,5,130.0,1490.0,
TOYOTA,AYGO X,"1.0L,INLINE-3",71.0,160.0,14.8,18000.0,Petrol,4,93.0,998.0,
TOYOTA,HILUX REVO ROCCO,"2.8L,TURBO,DIESEL",204.0,175.0,10.0,50000.0,Diesel,5,500.0,2755.0,
